key|text
plantilla_titulo_cabecera|Inicio
plantilla_titulo_cabecera_libros|Libros
plantilla_español|Español
plantilla_ingles|Inglés
plantilla_creada|Página creada por: 
plantilla_contacto|Contacto: 
plantilla_info|Esta página es una práctica para el módulo de DWES
plantilla_volver|Volver a la página de inicio
inicio_index_titulo|Esta es la práctica 5 de DWES
inicio_index_parrafo|En esta página hemos utilizado el modelo vista-controlador (MVC) para organizar el proyecto.<br/>En la página principal (actual) podemos encontrar un icono a continuación que nos llevará al apartado LIBROS.<br/>
libros_index_titulo|Mis últimos libros leidos
libros_form_anexar_titulo|Datos del nuevo libro
libros_form_modificar_titulo|Datos del libro a modificar
libros_form_eliminar_titulo|¿Está seguro de que desea eliminar este libro?
libros_titulo|Título
libros_autor|Autor
libros_comentario|Comentarios
libros_acciones|Acciones
libros_boton_anexar|Anexar un libro
libros_boton_modificar|Modificar
libros_boton_eliminar|Eliminar
libros_boton_aceptar|Aceptar
libros_boton_cancelar|Cancelar
validacion_error_requerido|Esta entrada es obligatoria, no puede quedarse vacía.
validacion_error_texto|Debe ser una cadena con un carácter como mínimo.
validacion_error_punto_y_coma|No se puede utilizar el ';'.
